election,race,key,county,precinct,party,candidate,votes
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 01,BEAVERHEAD,PRECINCT 01,Democrat,MONICA TRANEL,143
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 02,BEAVERHEAD,PRECINCT 02,Democrat,MONICA TRANEL,149
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 03,BEAVERHEAD,PRECINCT 03,Democrat,MONICA TRANEL,181
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 04,BEAVERHEAD,PRECINCT 04,Democrat,MONICA TRANEL,35
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 05,BEAVERHEAD,PRECINCT 05,Democrat,MONICA TRANEL,19
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 06,BEAVERHEAD,PRECINCT 06,Democrat,MONICA TRANEL,142
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 07,BEAVERHEAD,PRECINCT 07,Democrat,MONICA TRANEL,61
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 08,BEAVERHEAD,PRECINCT 08,Democrat,MONICA TRANEL,13
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 09,BEAVERHEAD,PRECINCT 09,Democrat,MONICA TRANEL,112
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 12,BEAVERHEAD,PRECINCT 12,Democrat,MONICA TRANEL,184
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 14,BEAVERHEAD,PRECINCT 14,Democrat,MONICA TRANEL,147
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 17,BEAVERHEAD,PRECINCT 17,Democrat,MONICA TRANEL,23
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 19,BEAVERHEAD,PRECINCT 19,Democrat,MONICA TRANEL,30
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 20,BEAVERHEAD,PRECINCT 20,Democrat,MONICA TRANEL,7
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 21,BEAVERHEAD,PRECINCT 21,Democrat,MONICA TRANEL,48
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 23,BEAVERHEAD,PRECINCT 23,Democrat,MONICA TRANEL,36
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 01,BEAVERHEAD,PRECINCT 01,Republican,RYAN K ZINKE,143
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 02,BEAVERHEAD,PRECINCT 02,Republican,RYAN K ZINKE,532
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 03,BEAVERHEAD,PRECINCT 03,Republican,RYAN K ZINKE,532
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 04,BEAVERHEAD,PRECINCT 04,Republican,RYAN K ZINKE,143
2023-gen,us-house-west,BEAVERHEAD-PRECINCT 05,BEAVERHEAD,PRECINCT 05,Republican,RYAN K ZINKE,106
