election,race,key,county,precinct,party,candidate,votes
2020-gen,omit,Ravalli-PCT 17,Ravalli,PCT 17,,No,263
2020-gen,omit,Ravalli-PCT 18,Ravalli,PCT 18,,No,283
2020-gen,omit,Ravalli-PCT 19,Ravalli,PCT 19,,No,301
2020-gen,omit,Ravalli-PCT 20,Ravalli,PCT 20,,No,224
2020-gen,omit,Ravalli-PCT 21,Ravalli,PCT 21,,No,171
2020-gen,omit,Ravalli-PCT 22,Ravalli,PCT 22,,No,322
2020-gen,omit,Ravalli-PCT 23,Ravalli,PCT 23,,No,324
2020-gen,omit,Ravalli-PCT 24,Ravalli,PCT 24,,No,271
2020-gen,omit,Ravalli-PCT 01,Ravalli,PCT 01,,Yes,467
2020-gen,omit,Ravalli-PCT 02,Ravalli,PCT 02,,Yes,748
2020-gen,omit,Ravalli-PCT 03,Ravalli,PCT 03,,Yes,556
