election,race,key,county,precinct,party,candidate,votes
2020-gen,omit,Ravalli-PCT 04,Ravalli,PCT 04,,Yes,559
2020-gen,omit,Ravalli-PCT 05,Ravalli,PCT 05,,Yes,1014
2020-gen,omit,Ravalli-PCT 06,Ravalli,PCT 06,,Yes,855
2020-gen,omit,Ravalli-PCT 07,Ravalli,PCT 07,,Yes,1149
2020-gen,omit,Ravalli-PCT 08,Ravalli,PCT 08,,Yes,1005
2020-gen,omit,Ravalli-PCT 09,Ravalli,PCT 09,,Yes,879
2020-gen,omit,Ravalli-PCT 10,Ravalli,PCT 10,,Yes,900
2020-gen,omit,Ravalli-PCT 11,Ravalli,PCT 11,,Yes,900
2020-gen,omit,Ravalli-PCT 12,Ravalli,PCT 12,,Yes,754
2020-gen,omit,Ravalli-PCT 13,Ravalli,PCT 13,,Yes,784
