district,party,candidate,votes
HD-54,Republican,TERRY MOORE,3778
HD-55,Republican,LEE DEMING,3144
HD-56,Republican,SUE VINTON,2968
HD-57,Democrat,THOMAS E FLANAGAN,1260
HD-57,Republican,FIONA B NAVE,3440
HD-58,Democrat,JUDITH P GREGORY,1940
HD-58,Republican,BRAD BARKER,3841
HD-59,Democrat,RUTH WEISSMAN,1921
HD-59,Republican,MARTY MALONE,3643
HD-60,Democrat,LAURIE BISHOP,3085
HD-60,Republican,DAN SKATTUM,2248
HD-61,Democrat,JIM HAMILTON,4263
HD-61,Green,STEVE KELLY,139
HD-61,Republican,PETER BOWER,2432
HD-62,Democrat,ED STAFMAN,4734
HD-62,Republican,MARC GREENDORFER,1762
HD-63,Democrat,ALICE BUCKLEY,2419
HD-63,Republican,CATHERINE PURCELL,1627
HD-64,Democrat,ALANAH GRIFFITH,2871
HD-64,Libertarian,DOUG CAMPBELL,178
HD-64,Republican,JANE GILLETTE,3551
HD-65,Democrat,KELLY KORTUM,4562
HD-65,Republican,JAMES COCCO,2615
HD-66,Democrat,ERIC MATTHEWS,3739
HD-67,Democrat,ELIZABETH MARUM,2207
HD-67,Republican,JEDEDIAH HINKLE,3213
HD-68,Democrat,JOE HANCOCK,1666
HD-68,Republican,CALEB HINKLE,3156
HD-69,Democrat,ROCKY HAMILTON,1648
HD-69,Libertarian,CARL MOHLER JR,133
HD-69,Republican,JENNIFER CARLSON,3951
HD-70,Democrat,JON JACKSON,1563
HD-70,Republican,JULIE DOOLING,4952
HD-71,Republican,KEN WALSH,5215
HD-72,Democrat,HOLT GIBSON,926
HD-72,Republican,TOM WELCH,4064
HD-73,Democrat,JENNIFER LYNCH,2355
HD-73,Republican,JASON FREEMAN,1408
HD-74,Democrat,DEREK J HARVEY,2208
HD-74,Republican,JAMES W KEPHART,1035
HD-75,Republican,MARTA BERTOGLIO,4409
HD-76,Democrat,DONAVON HAWK,3135
HD-76,Republican,SUZZANN NORDWICK,1861
HD-77,Democrat,SARA NOVAK,2443
HD-77,Republican,JOHN FITZPATRICK,2490
HD-78,Republican,GREGORY LEE FRAZER,2504
HD-79,Democrat,LAURA SMITH,3328
HD-79,Republican,KEITH PIGMAN,2144
HD-80,Republican,BECKY BEARD,4702
HD-81,Democrat,MELISSA ROMANO,2827
HD-81,Republican,JILL SARK,2055
HD-82,Democrat,MARY CAFERRO,2944
HD-82,Republican,ALDEN TONKAY,1861
HD-83,Democrat,KIM ABBOTT,2516
HD-83,Republican,BOB LEACH,1787
HD-84,Democrat,JILL COHENOUR,2587
HD-84,Republican,KAITLYN RUCH,2226
HD-85,Democrat,ROSAN STOVER,1512
HD-85,Republican,MICHELE BINKLEY,4735
HD-86,Democrat,ANNE W BROWN,1791
HD-86,Republican,DAVID BEDEY,3592
HD-87,Independent,WILL LOVETT MOORE,1505
