district,party,candidate,votes
HD-44,Republican,LARRY BREWSTER,1591
HD-44,Democrat,MELISSA SMITH,773
HD-45,Republican,KATIE ZOLNIKOV,2034
HD-46,Republican,BILL MERCER,2282
HD-46,Democrat,TIM WARBURTON,1031
HD-47,Republican,THOMAS J MADIGAN,935
HD-47,Democrat,DENISE BAUM,989
HD-48,Republican,JODEE ETCHART,1253
HD-48,Democrat,JENNIFER MERECKI,1091
HD-49,Republican,JEFF WYLIE,691
HD-49,Democrat,EMMA KERR-CARPENTER,770
HD-50,Republican,MALLERIE C STROMSWOLD,1028
HD-50,Democrat,ERIN R. TATE,422
HD-50,Democrat,JAMES REAVIS,458
HD-51,Republican,MIKE YAKAWICH,1211
HD-51,Democrat,CAROLE BOERNER,821
HD-52,Republican,SHERRY ESSMAN,1237
HD-52,Democrat,JENNA MARTIN,678
HD-53,Republican,NELLY NICOL,3422
HD-54,Republican,TERRY MOORE,2247
HD-55,Republican,CURTIS SCHOMER,547
HD-55,Republican,LEE DEMING,1413
HD-56,Republican,SUE VINTON,1776
HD-57,Republican,FIONA B NAVE,2052
HD-57,Democrat,THOMAS E FLANAGAN,332
HD-58,Republican,BRAD BARKER,1834
HD-58,Democrat,JUDITH P GREGORY,951
HD-59,Republican,MARTY MALONE,2290
HD-59,Democrat,RUTH WEISSMAN,760
HD-60,Republican,DAN SKATTUM,1141
HD-60,Democrat,LAURIE BISHOP,1265
HD-61,Republican,PETER BOWER,1334
HD-61,Democrat,JIM HAMILTON,2124
HD-62,Republican,MARC GREENDORFER,827
HD-62,Democrat,ED STAFMAN,2151
HD-63,Republican,CATHERINE PURCELL,594
HD-63,Democrat,ALICE BUCKLEY,802
HD-64,Republican,JANE GILLETTE,1654
HD-64,Democrat,ALANAH GRIFFITH,905
HD-64,Democrat,MICHELLE VERED,319
HD-65,Republican,JAMES COCCO,724
HD-65,Republican,RYAN EISELE,308
HD-65,Democrat,KELLY KORTUM,1705
HD-66,Democrat,ERIC MATTHEWS,1268
HD-67,Republican,JEDEDIAH HINKLE,1422
HD-67,Democrat,ELIZABETH MARUM,882
HD-68,Republican,CALEB HINKLE,1295
HD-68,Republican,BRUCE GRUBBS,507
HD-68,Democrat,JOE HANCOCK,651
HD-69,Republican,JENNIFER CARLSON,2171
HD-69,Democrat,ROCKY HAMILTON,791
HD-70,Republican,JULIE DOOLING,2346
HD-70,Democrat,JEREMIAH DAWSON,391
HD-70,Democrat,JON JACKSON,408
HD-71,Republican,KEN WALSH,2502
HD-72,Republican,TOM WELCH,2160
HD-72,Democrat,HOLT GIBSON,462
HD-73,Republican,JASON FREEMAN,654
HD-73,Democrat,ART NOONAN,1404
HD-74,Republican,JAMES W KEPHART,426
HD-74,Democrat,DEREK J HARVEY,1157
HD-75,Republican,MARTA BERTOGLIO,1715
HD-75,Republican,TIMOTHY D MCKENRICK,645
HD-76,Republican,SUZZANN NORDWICK,926
HD-76,Democrat,DONAVON HAWK,1878
HD-77,Republican,JOHN FITZPATRICK,1518
HD-77,Democrat,SARA NOVAK,1546
HD-78,Republican,GREGORY LEE FRAZER,662
HD-78,Republican,STEVEN D GRANT,496
HD-79,Republican,DENNISON RIVERA,1048
HD-79,Democrat,LAURA SMITH,1776
HD-80,Republican,BECKY BEARD,2151
HD-81,Republican,CHARLIE HULL,485
HD-81,Republican,JILL SARK,643
HD-81,Democrat,JAKE C TROYER,313
HD-81,Democrat,JACOB B. TORGERSON,263
HD-81,Democrat,MELISSA ROMANO,1108
HD-82,Republican,ALDEN TONKAY,1064
HD-82,Democrat,MARY CAFERRO,1379
HD-82,Democrat,CRAIG SUNDBERG,178
HD-83,Republican,BOB LEACH,886
HD-83,Democrat,KIM ABBOTT,1402
HD-84,Republican,KURT J AUGHNEY,364
HD-84,Republican,KAITLYN RUCH,509
HD-84,Republican,KEITH PIGMAN,406
HD-84,Democrat,JILL COHENOUR,1331
HD-84,Democrat,NOAH J HORAN,112
HD-85,Republican,MICHELE BINKLEY,2473
HD-85,Democrat,ROSAN STOVER,661
HD-86,Republican,DAVID BEDEY,1914
HD-86,Republican,JEFFREY B JONES,413
HD-86,Democrat,ANNE W BROWN,783
HD-87,Republican,RON MARSHALL,2116
HD-88,Republican,ALAN LACKEY,1050
HD-88,Republican,WAYNE RUSK,1541
HD-88,Democrat,KO MOUA,699
HD-89,Republican,GARY WANBERG,812
HD-89,Democrat,KATIE SULLIVAN,1427
HD-90,Republican,ALAN AULT,719
HD-90,Democrat,MARILYN MARLER,1724
HD-91,Republican,ANTHONY PAWLISZ,406
HD-91,Democrat,CONNIE KEOGH,2584
HD-92,Republican,MIKE HOPKINS,1322
HD-92,Democrat,GARY M. STEIN,1056
HD-93,Republican,JOE READ,1504
HD-93,Democrat,SHIRLEY AZZOPARDI,640
HD-94,Republican,REBECCA MAPSTON,983
HD-94,Democrat,TOM FRANCE,1410
HD-95,Republican,LAUREN SUBITH,388
HD-95,Democrat,SJ HOWELL,1460
HD-96,Republican,KATHY WHITMAN,1166
HD-96,Democrat,JONATHAN KARLEN,985
HD-96,Democrat,LINDA SWANSON,494
HD-97,Republican,MICHAEL BURKS,851
HD-97,Republican,LYN HELLEGAARD,891
HD-97,Democrat,DEVIN JACKSON,1181
HD-98,Republican,SONIA SHEARER-HIETT,983
HD-98,Democrat,BOB CARTER,994
HD-98,Democrat,ANDY NELSON,738
HD-99,Republican,RYAN DARLING,966
HD-99,Democrat,MARK THANE,1786
HD-100,Republican,SEAN PATRICK MCCOY,335
HD-100,Democrat,DAVID SEVERSON,934
HD-100,Democrat,ZOOEY ZEPHYR,1483
