district,party,candidate,votes
SD-1,Republican,MICHAEL J CUFFE,3973
SD-4,Republican,JOHN FULLER,2082
SD-4,Republican,LEE HUESTIS,1590
SD-4,Democrat,KYLE WATERMAN,844
SD-5,Republican,MARK NOLAND,2967
SD-5,Republican,ROB TRACY,1887
SD-8,Republican,RICK JENNISON,1037
SD-8,Democrat,SUSAN A WEBBER,1497
SD-9,Republican,"BRUCE ""BUTCH"" GILLESPIE",4160
SD-11,Republican,DANIEL EMRICH,2201
SD-11,Democrat,TOM JACOBSON,1171
SD-12,Republican,WENDY MCKAMEY,1463
SD-12,Republican,DESMA MEISSNER,787
SD-12,Democrat,JACOB BACHMEIER,1175
SD-13,Republican,JEREMY TREBAS,1688
SD-13,Democrat,CASEY SCHREINER,953
SD-14,Republican,RUSSEL E TEMPEL,2049
SD-14,Republican,STEVEN CHVILICEK,1762
SD-14,Democrat,DAVID H BREWER,982
SD-15-UNEXPIRED-TERM,Republican,DAN BARTEL,4940
SD-15-UNEXPIRED-TERM,Democrat,CINDY PALMER,875
SD-19,Republican,KENNETH BOGNER,4624
SD-20,Republican,GERALDINE CUSTER,2178
SD-20,Republican,BARRY USHER,3417
SD-22,Republican,DANIEL ZOLNIKOV,3279
SD-22,Democrat,TERRY DENNIS,1376
SD-24,Republican,ELIJAH TIDSWELL,2167
SD-24,Democrat,KATHY KELKER,2243
SD-27,Republican,DENNIS LENZ,5697
SD-29,Republican,FORREST JAMES MANDEVILLE,4086
SD-30,Republican,JOHN ESP,3559
SD-30,Democrat,JAMIE L ISALY,1971
SD-32,Republican,RANDY CHAMBERLIN,2242
SD-32,Democrat,PAT FLOWERS,1993
SD-33,Republican,ADAM DEWIS,1457
SD-33,Democrat,DENISE HAYMAN,2986
SD-34,Republican,SHELLEY VANCE,2292
SD-34,Republican,BRYAN DONALD HAYSOM,949
SD-34,Democrat,DAMION LYNN,1502
SD-41,Republican,DAVE GALT,2195
SD-41,Democrat,JANET ELLIS,3053
SD-42,Republican,MATT OLSON,2072
SD-42,Democrat,MARY ANN DUNWELL,2857
SD-43,Republican,JASON W ELLSWORTH,3474
SD-43,Republican,JOEDE VANEK,1643
SD-43,Democrat,JOHN F SCHNEEBERGER,1515
SD-48,Republican,JACOB VAN HORN,1581
SD-48,Democrat,SHANE A. MORIGEAU,2948
SD-49,Republican,BRAD TSCHIDA,2283
SD-49,Republican,NANCY BURGOYNE,737
SD-49,Democrat,WILLIS CURDY,2942
SD-50,Republican,NICK KNOWLES,1306
SD-50,Democrat,ANDREA OLSEN,2644
SD-50,Democrat,TOM STEENBERG,1577
HD-1,Republican,STEVE GUNDERSON,1688
HD-2,Republican,NEIL A. DURAM,2217
HD-3,Republican,BRAXTON MITCHELL,1348
HD-3,Republican,LORENA WOOD,495
HD-3,Democrat,ANDREA GETTS,564
HD-4,Republican,MATT REGIER,2350
HD-4,Democrat,KIMBERLY PINTER,471
HD-5,Republican,LYN BENNETT,820
HD-5,Republican,BRIAN OWENS,636
HD-5,Democrat,DAVE FERN,1166
HD-6,Republican,AMY REGIER,2375
HD-7,Republican,DAVE INGRAM,685
HD-7,Republican,COURTENAY SPRUNGER,811
HD-7,Democrat,ANGELA KENNEDY,383
HD-8,Republican,TERRY FALK,1138
HD-8,Republican,MARK TWICHEL,393
HD-8,Republican,DAVID DUNN,325
HD-8,Republican,LYNNE M (OGDEN) RIDER,342
HD-9,Republican,DAVID AUGUST,480
HD-9,Republican,CONSTANCE NEUMANN,709
HD-9,Republican,TONY BROCKMAN,769
HD-10,Republican,BOB KEENAN,2539
HD-10,Democrat,MARK H PHILLIPS,591
HD-11,Republican,RONALEE SKEES,776
HD-11,Republican,TANNER J SMITH,1545
HD-11,Republican,DEVON DECKER,429
HD-12,Republican,LINDA REKSTEN,1990
HD-12,Democrat,STERLING JAMES LAUDON,855
HD-13,Republican,PAUL C FIELDER,2644
HD-13,Democrat,COLLEEN HINDS,666
HD-14,Republican,DENLEY M LOGE,1914
HD-14,Republican,RANDY D MITCHELL,985
HD-15,Republican,BETHSAIDA (BETSY) JOHNSON,374
HD-15,Republican,RALPH FOSTER,392
HD-15,Democrat,ADRIEN OWEN WAGNER,150
HD-15,Democrat,MARVIN R. WEATHERWAX JR,306
HD-15,Democrat,THEDIS B CROWE,119
HD-16,Democrat,TYSON RUNNING WOLF,944
HD-17,Republican,JUSTIN CLEVELAND,1097
HD-17,Republican,ROSS H FITZGERALD,1669
HD-17,Democrat,BARNETT G. SPORKIN-MORRISON,455
HD-18,Republican,LLEW JONES,1741
HD-19,Republican,RUSSEL MINER,1842
HD-20,Republican,FRED ANDERSON,2046
HD-20,Democrat,SAMANTHA RISPENS,656
HD-21,Republican,ED BUTTREY,1298
HD-21,Democrat,LELA GRAHAM,620
HD-22,Republican,LOLA SHELDON-GALLOWAY,1058
HD-22,Democrat,NICK R. D. HENRY,530
HD-22,Libertarian,TONY ROSALES,22
HD-23,Republican,SCOT KERNS,843
HD-23,Democrat,MELISSA SMITH,319
HD-23,Democrat,BRAD HAMLETT,300
HD-24,Republican,STEVEN GALLOWAY,1005
HD-24,Democrat,BARBARA BESSETTE,608
HD-25,Republican,STEVE GIST,994
HD-25,Democrat,JASMINE KROTKOV,564
HD-26,Republican,GEORGE NIKOLAKAKOS,438
HD-26,Republican,MARCI MARCEAU,314
HD-26,Democrat,KARI ROSENLEAF,379
HD-27,Republican,JOSH KASSMIER,2413
HD-28,Republican,ED HILL,826
HD-28,Democrat,PAUL TUSS,755
HD-29,Republican,DOUGLAS FLAMENT,2238
HD-30,Republican,RANDYN GREGG,1312
HD-30,Republican,JAMES H BERGSTROM,1507
HD-30,Democrat,WENDY PALMER,355
HD-31,Republican,ARLIE W GORDON,586
HD-31,Democrat,FRANK J. SMITH,360
HD-31,Democrat,KACI WALLETTE,273
HD-32,Democrat,JONATHAN WINDY BOY,298
HD-33,Republican,CASEY JAMES KNUDSEN,1864
HD-33,Democrat,JORDAN OPHUS,388
HD-34,Republican,RHONDA KNUDSEN,2076
HD-35,Republican,BRANDON LER,1877
HD-36,Republican,BOB PHALEN,1924
HD-37,Republican,JERRY SCHILLINGER,3045
HD-38,Republican,WYATT WINCHESTER ENGLISH,85
HD-38,Republican,GREG KMETZ,1201
HD-38,Republican,MIKE WILLEMS,559
HD-38,Democrat,STEVE MUGGLI,579
HD-39,Republican,GARY PARRY,2348
HD-40,Republican,JOHN NICKELSON,603
HD-40,Republican,BRUCE HOILAND,367
HD-40,Republican,GREG OBLANDER,1109
HD-40,Republican,ROBERT (BOB) T GOFFENA,602
HD-41,Republican,PAUL GREEN,701
HD-41,Democrat,RYNALEA WHITEMAN PENA,301
HD-42,Republican,VIRGINIA MCDONALD,689
HD-42,Democrat,SHARON STEWART PEREGOY,564
HD-43,Republican,KERRI SEEKINS-CROWE,1692
