district,party,candidate,votes
HD-31,Republican,KEVIN TAYLOR,632
HD-31,Democrat,LANCE FOURSTAR,201
HD-31,Democrat,FRANK J SMITH,315
HD-32,Republican,JASON ULRICH,708
HD-32,Democrat,MIKE FOX,413
HD-33,Republican,BRANDON LER,1586
HD-33,Republican,KATHY HOILAND,926
HD-34,Republican,JERRY SCHILLINGER,3270
HD-35,Republican,GARY W PARRY,2561
HD-35,Democrat,KIM KREIDER,436
HD-36,Republican,GREG KMETZ,1600
HD-36,Democrat,STAN TAYLOR,532
HD-37,Republican,SHANE KLAKKEN,2478
HD-37,Democrat,ANDREA PAYNE,664
HD-38,Republican,GREG OBLANDER,2288
HD-38,Republican,NANCY KEMLER,498
HD-39,Republican,KERRI SEEKINS-CROWE,1497
HD-39,Democrat,MELISSA SMITH,624
HD-40,Republican,MIKE VINTON,1197
HD-40,Republican,JOSH VISOCAN,601
HD-40,Democrat,BOB AUCH,484
HD-41,Republican,DA WALLOWING BULL,418
HD-41,Democrat,JADE SOOKTIS,370
HD-42,Republican,BILL HODGES,771
HD-42,Democrat,SIDNEY CHIP FITZPATRICK,455
HD-43,Republican,LARRY BREWSTER,1458
HD-43,Democrat,ALEXANDER CLARK,712
HD-44,Republican,KATIE ZOLNIKOV,1803
HD-45,Republican,KASSIDY OLSON,1183
HD-45,Democrat,DENISE BAUM,1010
HD-46,Republican,STARR EMERY,988
HD-46,Democrat,EMMA KERR CARPENTER,922
HD-47,Republican,STEPHANIE MONCADA,346
HD-47,Republican,THOMAS MAHON,315
HD-47,Democrat,JAMES REAVIS,603
HD-48,Republican,CURTIS SCHOMER,1018
HD-48,Democrat,ANNE ROSS,680
HD-49,Republican,SHERRY ESSMANN,1459
HD-49,Democrat,RUDOLF HADEN,883
HD-50,Republican,ANTHONY NICASTRO,1847
HD-50,Democrat,SHAWN C GIESICK,785
HD-51,Republican,JODEE ETCHART,1665
HD-52,Republican,BILL MERCER,2296
HD-52,Democrat,CAROLE BOERNER,912
HD-53,Republican,NELLY NICOL,1174
HD-53,Republican,DAVID AUSTIN,1065
HD-53,Democrat,ELLIE KERNS,585
HD-54,Republican,LEE DEMING,1680
HD-55,Republican,BRAD BARKER,1519
HD-55,Republican,MARY HORMAN,732
HD-55,Republican,LISA BENNETT,665
HD-55,Democrat,KIM GILLAN,960
HD-56,Republican,FIONA NAVE,2546
HD-57,Republican,MARTY MALONE,1838
HD-57,Democrat,SCOTT ROSENZWEIG,1465
HD-58,Republican,JASON GUNDERSON,1284
HD-58,Democrat,JAMIE L ISALY,1374
HD-58,Democrat,DEAN WILLIAMSON,134
HD-59,Republican,MARC GREENDORFER,1096
HD-59,Democrat,ED STAFMAN,1977
HD-60,Republican,JERRY JOHNSON,1023
HD-60,Democrat,ALANAH GRIFFITH,1119
HD-61,Republican,THOMAS CARLSON,135
HD-61,Democrat,BECKY EDWARDS,700
HD-62,Republican,OWEN LANG,872
HD-62,Democrat,RIO ROLAND,448
HD-62,Democrat,JOSHUA A SECKINGER,504
HD-63,Republican,JOE FLYNN,264
HD-63,Republican,MARK LEWIS,534
HD-63,Democrat,PETER STRAND,818
HD-63,Democrat,JOHN HANSEN,215
HD-64,Republican,JOLENE  CRUM,767
HD-64,Democrat,KELLY KORTUM,1053
HD-65,Republican,ESTHER FISHBAUGH,1030
HD-65,Democrat,ANJA WOOKEYHUFFMAN,543
HD-65,Democrat,BRIAN CLOSE,860
HD-66,Republican,MARLA DAVIS,1183
HD-66,Democrat,ERIC MATTHEWS,1587
HD-67,Republican,JEDEDIAH HINKLE,1184
HD-67,Democrat,CARL ANDERSON,627
HD-68,Republican,CALEB HINKLE,1001
HD-68,Republican,JENNIFER CARLSON,699
HD-68,Republican,SCOTT SALES,333
HD-68,Democrat,ALEXANDER COLAFRANCESCO,506
HD-69,Republican,KEN WALSH,2539
HD-70,Republican,MARY ANN NICHOLAS,1152
HD-70,Republican,SHANNON MANESS,1456
HD-70,Republican,MIKE KLAKKEN,366
HD-71,Republican,H STEIGER,1138
HD-71,Democrat,SCOTT P DEMAROIS,1881
HD-72,Republican,ANDY JOHNSON,827
HD-72,Democrat,DONAVON HAWK,1734
HD-73,Republican,ZACH TOMASZEWSKI,789
HD-73,Democrat,JENNIFER LYNCH,1508
HD-74,Republican,TRENIN BAYLESS,1238
HD-74,Democrat,MARC J LEE,2235
HD-75,Republican,MARTA BERTOGLIO,2280
HD-75,Democrat,NANCY JANE LIEN,1088
HD-76,Republican,JOHN FITZPATRICK,1466
HD-76,Republican,DAVE KESLER III,1369
HD-77,Republican,KYLE MCMURRAY,1503
HD-77,Republican,JANE GILLETTE,1563
HD-77,Democrat,JEREMIAH DAWSON,547
HD-78,Republican,JAMES H BERGSTROM,1402
HD-78,Republican,RANDYN GREGG,1578
HD-78,Democrat,GLENN A LAMBERT,525
HD-79,Republican,JILL SARK,1026
HD-79,Republican,DEMETRI JOSLIN,527
HD-79,Democrat,ANNE WOODLAND,136
HD-79,Democrat,EMILY HARRIS,786
HD-79,Democrat,LUKE MUSZKIEWICZ,1217
HD-80,Republican,RACHEL BURRIGHT,1186
HD-80,Democrat,MELISSA ROMANO,1291
HD-81,Republican,DUSTIN SCOTT,1337
HD-81,Democrat,MARY M CAFERRO,1559
HD-82,Republican,JOHN LOONEY SR,1085
HD-82,Democrat,SK ROSSI,788
HD-82,Democrat,PETE ELVERUM,926
HD-83,Republican,CHRISTOPHER ST JEAN,429
HD-83,Republican,WES FEIST,826
HD-83,Democrat,JILL COHENOUR,1750
HD-84,Republican,JULIE DOOLING,1903
HD-84,Republican,JON JACKSON,524
HD-84,Democrat,DAVID WILLIAMS,195
HD-84,Democrat,MICHELE R CREPEAU,815
HD-85,Republican,MICHELE BINKLEY,1462
HD-85,Republican,KATHY LOVE,1636
HD-85,Democrat,LAURA MAE JACKSON,670
HD-86,Republican,DAVID BEDEY,1883
HD-86,Republican,ROBERT WALLACE,611
HD-86,Democrat,JEFF KEMPKA,870
HD-87,Republican,RON MARSHALL,2473
HD-87,Democrat,TAMMIE MILLIGAN,624
HD-88,Republican,GREG OVERSTREET,1571
HD-88,Republican,KIM DAILEY,1328
HD-88,Democrat,EVAN SCHROEDEL,779
HD-89,Republican,LYN HELLEGAARD,1252
HD-89,Democrat,MARK A THANE,1488
HD-90,Republican,CURTIS J COCHRAN,1034
HD-90,Republican,JEFF STANEK,907
HD-90,Republican,STEVEN DELISLE,732
HD-91,Republican,JOE READ,1260
HD-91,Democrat,SHELLY R FYANT,1270
HD-92,Republican,TED MORGAN,1025
HD-92,Democrat,CONNIE KEOGH,1804
HD-93,Republican,ROY HANDLEY,931
HD-93,Democrat,KATIE SULLIVAN,1728
HD-94,Republican,DELANEY MALMSTEN,1100
HD-94,Democrat,MARILYN MARLER,1866
HD-95,Republican,BARBARA W STARMER,312
HD-95,Democrat,ZOOEY ZEPHYR,2209
HD-96,Republican,ROBERT LABAIR,952
HD-96,Democrat,BOB CARTER,1495
HD-97,Republican,NICK KNOWLES,846
HD-97,Democrat,MELODY CUNNINGHAM,1348
HD-97,Democrat,LISA VERLANIC FOWLER,278
HD-97,Libertarian,RICHARD L ARMERDING,5
HD-98,Republican,JACE BEARD,853
HD-98,Democrat,JONATHAN KARLEN,1376
HD-99,Republican,RYAN DARLING,1017
HD-99,Democrat,TOM FRANCE,1536
HD-100,Republican,CHRISTOPHER PAUL BUCKLES,353
HD-100,Democrat,SJ HOWELL,1230
HD-100,Democrat,TIM GARRISON,477
