election,race,key,county,precinct,party,candidate,votes
2018-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,MATT ROSENDALE,159
2018-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,MATT ROSENDALE,452
2018-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,MATT ROSENDALE,471
2018-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,MATT ROSENDALE,109
2018-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,MATT ROSENDALE,104
2018-gen,us senate,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,MATT ROSENDALE,239
2018-gen,us senate,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,MATT ROSENDALE,207
2018-gen,us senate,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,MATT ROSENDALE,53
2018-gen,us senate,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,MATT ROSENDALE,264
2018-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,MATT ROSENDALE,249
2018-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,MATT ROSENDALE,150
2018-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,MATT ROSENDALE,78
2018-gen,us senate,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,MATT ROSENDALE,81
2018-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,MATT ROSENDALE,72
2018-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,MATT ROSENDALE,96
2018-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,MATT ROSENDALE,82
2018-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,JON TESTER,251
2018-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,JON TESTER,233
2018-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,JON TESTER,246
2018-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,JON TESTER,50
2018-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,JON TESTER,28
2018-gen,us senate,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,JON TESTER,226
2018-gen,us senate,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,JON TESTER,78
2018-gen,us senate,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,JON TESTER,14
2018-gen,us senate,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,JON TESTER,158
2018-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,JON TESTER,235
2018-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,JON TESTER,189
2018-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,JON TESTER,29
2018-gen,us senate,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,JON TESTER,31
2018-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,JON TESTER,12
2018-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,JON TESTER,54
2018-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,JON TESTER,42
2018-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,L,RICK BRECKENRIDGE,12
