election,race,key,county,precinct,party,candidate,votes
2018-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,L,RICK BRECKENRIDGE,28
2018-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,L,RICK BRECKENRIDGE,22
2018-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,L,RICK BRECKENRIDGE,9
2018-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,L,RICK BRECKENRIDGE,1
2018-gen,us senate,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,L,RICK BRECKENRIDGE,19
2018-gen,us senate,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,L,RICK BRECKENRIDGE,8
2018-gen,us senate,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,L,RICK BRECKENRIDGE,3
2018-gen,us senate,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,L,RICK BRECKENRIDGE,11
2018-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,L,RICK BRECKENRIDGE,10
2018-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,L,RICK BRECKENRIDGE,15
2018-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,L,RICK BRECKENRIDGE,4
2018-gen,us senate,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,L,RICK BRECKENRIDGE,5
2018-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,L,RICK BRECKENRIDGE,5
2018-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,L,RICK BRECKENRIDGE,2
2018-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,L,RICK BRECKENRIDGE,1
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,GREG GIANFORTE,180
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,GREG GIANFORTE,494
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,GREG GIANFORTE,509
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,GREG GIANFORTE,117
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,GREG GIANFORTE,106
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,GREG GIANFORTE,270
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,GREG GIANFORTE,222
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,GREG GIANFORTE,55
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,GREG GIANFORTE,291
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,GREG GIANFORTE,262
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,GREG GIANFORTE,172
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,GREG GIANFORTE,82
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,GREG GIANFORTE,89
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,GREG GIANFORTE,76
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,GREG GIANFORTE,102
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,GREG GIANFORTE,86
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,KATHLEEN WILLIAMS,231
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,KATHLEEN WILLIAMS,199
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,KATHLEEN WILLIAMS,219
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,KATHLEEN WILLIAMS,44
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,KATHLEEN WILLIAMS,27
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,KATHLEEN WILLIAMS,199
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,KATHLEEN WILLIAMS,72
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,KATHLEEN WILLIAMS,13
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,KATHLEEN WILLIAMS,134
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,KATHLEEN WILLIAMS,225
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,KATHLEEN WILLIAMS,170
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,KATHLEEN WILLIAMS,27
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,KATHLEEN WILLIAMS,25
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,KATHLEEN WILLIAMS,10
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,KATHLEEN WILLIAMS,49
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,KATHLEEN WILLIAMS,37
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,L,ELINOR SWANSON,9
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,L,ELINOR SWANSON,21
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,L,ELINOR SWANSON,16
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,L,ELINOR SWANSON,6
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,L,ELINOR SWANSON,1
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,L,ELINOR SWANSON,14
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,L,ELINOR SWANSON,4
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,L,ELINOR SWANSON,2
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,L,ELINOR SWANSON,8
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,L,ELINOR SWANSON,9
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,L,ELINOR SWANSON,15
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,L,ELINOR SWANSON,3
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,L,ELINOR SWANSON,5
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,L,ELINOR SWANSON,3
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,L,ELINOR SWANSON,2
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,L,ELINOR SWANSON,4
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,BOWEN GREENWOOD,174
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,BOWEN GREENWOOD,463
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,BOWEN GREENWOOD,489
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,BOWEN GREENWOOD,118
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,BOWEN GREENWOOD,102
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,BOWEN GREENWOOD,271
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,BOWEN GREENWOOD,202
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,BOWEN GREENWOOD,54
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,BOWEN GREENWOOD,276
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,BOWEN GREENWOOD,266
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,BOWEN GREENWOOD,168
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,BOWEN GREENWOOD,79
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,BOWEN GREENWOOD,77
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,BOWEN GREENWOOD,70
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,BOWEN GREENWOOD,100
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,BOWEN GREENWOOD,80
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,REX RENK,197
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,REX RENK,167
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,REX RENK,185
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,REX RENK,31
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,REX RENK,20
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,REX RENK,147
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,REX RENK,67
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,REX RENK,12
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,REX RENK,116
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,REX RENK,186
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,REX RENK,136
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,REX RENK,25
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,REX RENK,20
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,REX RENK,11
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,REX RENK,38
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,REX RENK,35
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,L,ROGER ROOTS,26
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,L,ROGER ROOTS,38
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,L,ROGER ROOTS,30
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,L,ROGER ROOTS,10
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,L,ROGER ROOTS,5
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,L,ROGER ROOTS,48
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,L,ROGER ROOTS,14
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,L,ROGER ROOTS,2
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,L,ROGER ROOTS,25
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,L,ROGER ROOTS,17
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,L,ROGER ROOTS,30
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,L,ROGER ROOTS,5
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,L,ROGER ROOTS,11
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,L,ROGER ROOTS,3
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,L,ROGER ROOTS,8
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,L,ROGER ROOTS,5
2018-gen,house,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,TOM WELCH,240
2018-gen,house,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,TOM WELCH,587
2018-gen,house,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,TOM WELCH,604
2018-gen,house,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,TOM WELCH,133
2018-gen,house,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,TOM WELCH,116
2018-gen,house,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,TOM WELCH,369
2018-gen,house,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,TOM WELCH,245
2018-gen,house,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,TOM WELCH,62
2018-gen,house,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,TOM WELCH,357
2018-gen,house,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,TOM WELCH,392
2018-gen,house,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,TOM WELCH,244
2018-gen,house,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,TOM WELCH,92
2018-gen,house,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,TOM WELCH,94
2018-gen,house,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,TOM WELCH,83
2018-gen,house,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,TOM WELCH,117
2018-gen,house,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,TOM WELCH,90
2018-gen,house,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,BILL DWYER,169
2018-gen,house,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,BILL DWYER,117
2018-gen,house,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,BILL DWYER,135
2018-gen,house,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,BILL DWYER,28
2018-gen,house,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,BILL DWYER,13
2018-gen,house,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,BILL DWYER,107
2018-gen,house,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,BILL DWYER,44
2018-gen,house,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,BILL DWYER,7
2018-gen,house,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,BILL DWYER,76
2018-gen,house,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,BILL DWYER,99
2018-gen,house,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,BILL DWYER,106
2018-gen,house,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,BILL DWYER,19
2018-gen,house,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,BILL DWYER,22
2018-gen,house,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,BILL DWYER,4
2018-gen,house,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,BILL DWYER,32
2018-gen,house,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,BILL DWYER,35
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,JOHN HENRY JACKSON,302
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,JOHN HENRY JACKSON,623
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,JOHN HENRY JACKSON,611
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,JOHN HENRY JACKSON,138
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,JOHN HENRY JACKSON,113
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,JOHN HENRY JACKSON,419
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,JOHN HENRY JACKSON,253
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,JOHN HENRY JACKSON,62
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,JOHN HENRY JACKSON,378
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,JOHN HENRY JACKSON,401
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,JOHN HENRY JACKSON,288
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,JOHN HENRY JACKSON,94
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,JOHN HENRY JACKSON,100
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,JOHN HENRY JACKSON,75
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,JOHN HENRY JACKSON,131
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,JOHN HENRY JACKSON,102
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,STACEY REYNOLDS,327
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,STACEY REYNOLDS,656
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,STACEY REYNOLDS,658
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,STACEY REYNOLDS,148
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,STACEY REYNOLDS,119
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,STACEY REYNOLDS,436
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,STACEY REYNOLDS,258
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,STACEY REYNOLDS,62
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,STACEY REYNOLDS,398
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,STACEY REYNOLDS,421
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,STACEY REYNOLDS,313
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,STACEY REYNOLDS,96
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,STACEY REYNOLDS,106
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,STACEY REYNOLDS,82
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,STACEY REYNOLDS,139
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,STACEY REYNOLDS,107
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,I,FRANKLIN D. KLUESNER II,124
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,I,PAUL L. CRAFT,271
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,I,FRANKLIN D. KLUESNER II,294
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,I,PAUL L. CRAFT,402
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,I,PAUL L. CRAFT,422
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,I,FRANKLIN D. KLUESNER II,297
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,I,FRANKLIN D. KLUESNER II,99
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,I,PAUL L. CRAFT,67
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,I,PAUL L. CRAFT,72
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,I,FRANKLIN D. KLUESNER II,57
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,I,FRANKLIN D. KLUESNER II,192
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,I,PAUL L. CRAFT,276
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,I,PAUL L. CRAFT,156
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,I,FRANKLIN D. KLUESNER II,122
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,I,FRANKLIN D. KLUESNER II,23
2018-gen,omit,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,I,PAUL L. CRAFT,43
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,I,PAUL L. CRAFT,256
2018-gen,omit,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,I,FRANKLIN D. KLUESNER II,163
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,I,FRANKLIN D. KLUESNER II,163
2018-gen,omit,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,I,PAUL L. CRAFT,325
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,I,PAUL L. CRAFT,225
2018-gen,omit,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,I,FRANKLIN D. KLUESNER II,119
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,I,FRANKLIN D. KLUESNER II,40
2018-gen,omit,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,I,PAUL L. CRAFT,72
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,I,PAUL L. CRAFT,72
2018-gen,omit,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,I,FRANKLIN D. KLUESNER II,40
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,I,FRANKLIN D. KLUESNER II,33
2018-gen,omit,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,I,PAUL L. CRAFT,50
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,I,PAUL L. CRAFT,95
2018-gen,omit,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,I,FRANKLIN D. KLUESNER II,46
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,I,FRANKLIN D. KLUESNER II,40
2018-gen,omit,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,I,PAUL L. CRAFT,72
2018-gen,omit,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,JULIE A. BRIGGS,345
2018-gen,omit,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,JULIE A. BRIGGS,671
2018-gen,omit,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,JULIE A. BRIGGS,677
2018-gen,omit,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,JULIE A. BRIGGS,151
2018-gen,omit,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,JULIE A. BRIGGS,128
2018-gen,omit,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,JULIE A. BRIGGS,450
2018-gen,omit,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,JULIE A. BRIGGS,268
