election,race,key,county,precinct,party,candidate,votes
2014-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,AMANDA CURTIS,166
2014-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,AMANDA CURTIS,120
2014-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,AMANDA CURTIS,18
2014-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,AMANDA CURTIS,132
2014-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,AMANDA CURTIS,4
2014-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,AMANDA CURTIS,30
2014-gen,us senate,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,AMANDA CURTIS,126
2014-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,AMANDA CURTIS,160
2014-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,AMANDA CURTIS,28
2014-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,AMANDA CURTIS,154
2014-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,AMANDA CURTIS,4
2014-gen,us senate,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,AMANDA CURTIS,43
2014-gen,us senate,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,AMANDA CURTIS,11
2014-gen,us senate,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,AMANDA CURTIS,17
2014-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,AMANDA CURTIS,30
2014-gen,us senate,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,AMANDA CURTIS,98
2014-gen,us senate,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,STEVE DAINES,76
2014-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,STEVE DAINES,117
2014-gen,us senate,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,STEVE DAINES,260
2014-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,STEVE DAINES,254
2014-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,STEVE DAINES,150
2014-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,STEVE DAINES,61
2014-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,STEVE DAINES,88
2014-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,STEVE DAINES,468
2014-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,STEVE DAINES,93
2014-gen,us senate,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,STEVE DAINES,260
2014-gen,us senate,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,STEVE DAINES,173
2014-gen,us senate,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,STEVE DAINES,54
2014-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,STEVE DAINES,169
2014-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,STEVE DAINES,61
2014-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,STEVE DAINES,424
2014-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,STEVE DAINES,82
2014-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,L,ROGER ROOTS,13
2014-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,L,ROGER ROOTS,14
2014-gen,us senate,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,L,ROGER ROOTS,1
2014-gen,us senate,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,L,ROGER ROOTS,3
2014-gen,us senate,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,L,ROGER ROOTS,4
2014-gen,us senate,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,L,ROGER ROOTS,8
2014-gen,us senate,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,L,ROGER ROOTS,3
2014-gen,us senate,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,L,ROGER ROOTS,0
2014-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,L,ROGER ROOTS,3
