election,race,key,county,precinct,party,candidate,votes
2016-gen,president,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,HILLARY CLINTON AND TIM KAINE,175
2016-gen,president,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,HILLARY CLINTON AND TIM KAINE,157
2016-gen,president,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,HILLARY CLINTON AND TIM KAINE,125
2016-gen,president,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,HILLARY CLINTON AND TIM KAINE,18
2016-gen,president,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,HILLARY CLINTON AND TIM KAINE,14
2016-gen,president,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,HILLARY CLINTON AND TIM KAINE,127
2016-gen,president,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,HILLARY CLINTON AND TIM KAINE,2
2016-gen,president,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,HILLARY CLINTON AND TIM KAINE,25
2016-gen,president,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,HILLARY CLINTON AND TIM KAINE,29
2016-gen,president,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,HILLARY CLINTON AND TIM KAINE,158
2016-gen,president,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,HILLARY CLINTON AND TIM KAINE,34
2016-gen,president,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,HILLARY CLINTON AND TIM KAINE,9
2016-gen,president,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,HILLARY CLINTON AND TIM KAINE,129
2016-gen,president,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,HILLARY CLINTON AND TIM KAINE,40
2016-gen,president,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,HILLARY CLINTON AND TIM KAINE,14
2016-gen,president,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,HILLARY CLINTON AND TIM KAINE,87
2016-gen,president,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,1
2016-gen,president,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,2
2016-gen,president,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,2
2016-gen,president,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,2
2016-gen,president,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,1
2016-gen,president,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,A,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,4
