election,type,race,key,county,precinct,party,candidate,votes
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Democrat,KAMALA D. HARRIS,134
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Democrat,KAMALA D. HARRIS,219
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Democrat,KAMALA D. HARRIS,171
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Democrat,KAMALA D. HARRIS,30
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Democrat,KAMALA D. HARRIS,38
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Democrat,KAMALA D. HARRIS,12
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Democrat,KAMALA D. HARRIS,39
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Democrat,KAMALA D. HARRIS,41
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Libertarian,CHASE OLIVER,7
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Libertarian,CHASE OLIVER,3
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Libertarian,CHASE OLIVER,8
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Libertarian,CHASE OLIVER,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Libertarian,CHASE OLIVER,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Libertarian,CHASE OLIVER,1
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Libertarian,CHASE OLIVER,1
